video,exercise,frames,windows
squat_1.MOV,squat,587,115
squat_10.mp4,squat,175,33
squat_11.mp4,squat,144,26
squat_12.mp4,squat,113,20
squat_13.mp4,squat,130,24
squat_14.mp4,squat,101,18
squat_15.mp4,squat,280,54
squat_16.mp4,squat,47,7
squat_17.mp4,squat,110,20
squat_18.mp4,squat,93,16
squat_19.mp4,squat,143,26
squat_2.MOV,squat,430,84
squat_20.mp4,squat,233,44
squat_21.mp4,squat,347,67
squat_22.mp4,squat,368,71
squat_23.mp4,squat,407,79
squat_24.mp4,squat,197,37
squat_25.mp4,squat,338,65
squat_26.mp4,squat,368,71
squat_27.mp4,squat,647,127
squat_28.mp4,squat,378,73
squat_29.mp4,squat,55,9
squat_3.MOV,squat,639,125
squat_4.MOV,squat,600,118
squat_5.MOV,squat,656,129
squat_6.MOV,squat,664,130
squat_7.mp4,squat,57,9
squat_8.mp4,squat,101,18
squat_9.mp4,squat,68,11
push-up_1.mp4,pushup,150,28
push-up_10.mp4,pushup,149,27
push-up_11.mp4,pushup,150,28
push-up_12.mp4,pushup,150,28
push-up_13.mp4,pushup,147,27
push-up_14.mp4,pushup,147,27
push-up_15.mp4,pushup,83,14
push-up_16.mp4,pushup,140,26
push-up_17.mp4,pushup,91,16
push-up_18.mp4,pushup,70,12
push-up_19.mp4,pushup,150,28
push-up_2.mp4,pushup,150,28
push-up_20.mp4,pushup,149,27
push-up_21.mp4,pushup,150,28
push-up_22.mp4,pushup,150,28
push-up_23.mp4,pushup,116,21
push-up_24.mp4,pushup,126,23
push-up_25.mp4,pushup,98,17
push-up_26.mp4,pushup,150,28
push-up_27.mp4,pushup,150,28
push-up_28.mp4,pushup,113,20
push-up_29.mp4,pushup,150,28
push-up_3.mp4,pushup,150,28
push-up_30.mp4,pushup,122,22
push-up_31.mp4,pushup,150,28
push-up_32.mp4,pushup,150,28
push-up_33.mp4,pushup,146,27
push-up_34.mp4,pushup,114,20
push-up_35.mp4,pushup,150,28
push-up_36.mp4,pushup,150,28
push-up_37.mp4,pushup,144,26
push-up_38.mp4,pushup,150,28
push-up_39.mp4,pushup,145,27
push-up_4.mp4,pushup,150,28
push-up_40.mp4,pushup,150,28
push-up_41.mp4,pushup,108,19
push-up_42.mp4,pushup,150,28
push-up_43.mp4,pushup,73,12
push-up_44.mp4,pushup,113,20
push-up_45.mp4,pushup,150,28
push-up_46.mp4,pushup,150,28
push-up_47.mp4,pushup,105,19
