Model,Seed,Parameters,Test_Accuracy,Test_Loss,Train_Seconds
LSTM (Main),0,64003,0.9311475157737732,0.3839675784111023,8.9
LSTM (Main),1,64003,0.9464480876922607,0.40645134449005127,8.9
LSTM (Main),2,64003,0.9289617538452148,0.5934430956840515,8.9
LSTM (Main),3,64003,0.9344262480735779,0.5542304515838623,8.9
LSTM (Main),4,64003,0.9311475157737732,0.4192134141921997,9.1
GRU,0,48579,0.9213114976882935,0.5760135054588318,9.9
GRU,1,48579,0.9202185869216919,0.6483759880065918,9.9
GRU,2,48579,0.9322404265403748,0.5785360932350159,9.9
GRU,3,48579,0.9224043488502502,0.6019600629806519,10.0
GRU,4,48579,0.9453551769256592,0.34757980704307556,9.7
1D-CNN,0,32739,0.9409835934638977,0.6104539632797241,3.1
1D-CNN,1,32739,0.9300546646118164,0.4699093699455261,3.2
1D-CNN,2,32739,0.893989086151123,0.700128436088562,3.3
1D-CNN,3,32739,0.9387978315353394,0.5009626150131226,3.3
1D-CNN,4,32739,0.9256830811500549,0.7004236578941345,3.4
LSTM (No-Norm),0,64003,0.893989086151123,0.6634915471076965,10.6
LSTM (No-Norm),1,64003,0.8961748480796814,0.6956060528755188,10.9
LSTM (No-Norm),2,64003,0.9147540926933289,0.6448038816452026,11.0
LSTM (No-Norm),3,64003,0.9256830811500549,0.5713028907775879,11.1
LSTM (No-Norm),4,64003,0.8950819969177246,0.6097921133041382,11.2
Single-Frame MLP,0,25475,0.9311475157737732,0.45464667677879333,1.9
Single-Frame MLP,1,25475,0.9366120100021362,0.3869694173336029,1.8
Single-Frame MLP,2,25475,0.9234972596168518,0.43569862842559814,2.0
Single-Frame MLP,3,25475,0.9398906826972961,0.4584483206272125,1.8
Single-Frame MLP,4,25475,0.9322404265403748,0.4962984621524811,1.8
