video,true_exercise,predicted_exercise,clip_correct,window_accuracy,vote_share,rules_counted_reps,rules_corroborate
"squat_1.MOV",squat,squat,1,0.9215,0.9215,0,0
"squat_13.mp4",squat,squat,1,1,1,2,1
"squat_14.mp4",squat,squat,1,1,1,1,1
"squat_20.mp4",squat,squat,1,0.5342,0.5342,2,1
"squat_4.MOV",squat,squat,1,1,1,1,1
"push-up_11.mp4",pushup,pushup,1,1,1,2,1
"push-up_18.mp4",pushup,bicepCurl,0,0,0.6429,0,0
"push-up_29.mp4",pushup,pushup,1,1,1,2,1
"push-up_30.mp4",pushup,pushup,1,1,1,3,1
"push-up_33.mp4",pushup,pushup,1,1,1,3,1
"push-up_38.mp4",pushup,pushup,1,1,1,2,1
"push-up_39.mp4",pushup,pushup,1,1,1,1,1
"push-up_47.mp4",pushup,pushup,1,1,1,1,1
"push-up_49.mp4",pushup,pushup,1,1,1,3,1
"push-up_54.mp4",pushup,pushup,1,1,1,19,1
"barbell biceps curl_1.mp4",bicepCurl,bicepCurl,1,1,1,1,1
"barbell biceps curl_17.mp4",bicepCurl,bicepCurl,1,1,1,1,1
"barbell biceps curl_19.mp4",bicepCurl,bicepCurl,1,1,1,1,1
"barbell biceps curl_32.mp4",bicepCurl,bicepCurl,1,1,1,1,1
"barbell biceps curl_38.mp4",bicepCurl,bicepCurl,1,1,1,1,1
"barbell biceps curl_43.mp4",bicepCurl,bicepCurl,1,0.7034,0.7034,1,1
"barbell biceps curl_46.mp4",bicepCurl,bicepCurl,1,1,1,1,1
"barbell biceps curl_5.mp4",bicepCurl,bicepCurl,1,0.7794,0.7794,1,1
"barbell biceps curl_50.mp4",bicepCurl,bicepCurl,1,1,1,1,1
"barbell biceps curl_56.mp4",bicepCurl,bicepCurl,1,0.8342,0.8342,2,1
"barbell biceps curl_60.mp4",bicepCurl,bicepCurl,1,0.767,0.767,2,1
