video,exercise,frames,reps_counted
"squat_1.MOV",squat,587,0
"squat_13.mp4",squat,130,2
"squat_14.mp4",squat,101,1
"squat_20.mp4",squat,233,2
"squat_4.MOV",squat,600,1
"push-up_11.mp4",pushup,150,2
"push-up_18.mp4",pushup,70,0
"push-up_29.mp4",pushup,150,2
"push-up_30.mp4",pushup,122,3
"push-up_33.mp4",pushup,146,3
"push-up_38.mp4",pushup,150,2
"push-up_39.mp4",pushup,145,1
"push-up_47.mp4",pushup,105,1
"push-up_49.mp4",pushup,150,3
"push-up_54.mp4",pushup,778,19
"barbell biceps curl_1.mp4",bicepCurl,114,1
"barbell biceps curl_17.mp4",bicepCurl,61,1
"barbell biceps curl_19.mp4",bicepCurl,60,1
"barbell biceps curl_32.mp4",bicepCurl,65,1
"barbell biceps curl_38.mp4",bicepCurl,59,1
"barbell biceps curl_43.mp4",bicepCurl,132,1
"barbell biceps curl_46.mp4",bicepCurl,94,1
"barbell biceps curl_5.mp4",bicepCurl,82,1
"barbell biceps curl_50.mp4",bicepCurl,150,1
"barbell biceps curl_56.mp4",bicepCurl,213,2
"barbell biceps curl_60.mp4",bicepCurl,220,2
